DATE;HOUR;FACT;ID_COMPANY;ID_GTP;CITY_ID
01.01.2015;0;485531;5;4;491687
01.01.2015;1;469662;5;4;491687
01.01.2015;2;451051;5;4;491687
01.01.2015;3;432283;5;4;491687
01.01.2015;4;424887;5;4;491687
01.01.2015;5;417438;5;4;491687
01.01.2015;6;416040;5;4;491687
01.01.2015;7;418929;5;4;491687
01.01.2015;8;422318;5;4;491687
01.01.2015;9;417548;5;4;491687
01.01.2015;10;425516;5;4;491687
01.01.2015;11;427395;5;4;491687
01.01.2015;12;435381;5;4;491687
01.01.2015;13;434837;5;4;491687
01.01.2015;14;437703;5;4;491687
01.01.2015;15;439963;5;4;491687
01.01.2015;16;453933;5;4;491687
01.01.2015;17;488554;5;4;491687
01.01.2015;18;491347;5;4;491687
01.01.2015;19;494887;5;4;491687
01.01.2015;20;490754;5;4;491687
01.01.2015;21;477682;5;4;491687
01.01.2015;22;463732;5;4;491687
01.01.2015;23;442662;5;4;491687
02.01.2015;0;420932;5;4;491687
02.01.2015;1;405872;5;4;491687
02.01.2015;2;395637;5;4;491687
02.01.2015;3;384595;5;4;491687
02.01.2015;4;388220;5;4;491687
02.01.2015;5;387368;5;4;491687
02.01.2015;6;400779;5;4;491687
02.01.2015;7;410774;5;4;491687
02.01.2015;8;425467;5;4;491687
02.01.2015;9;428753;5;4;491687
02.01.2015;10;449028;5;4;491687
02.01.2015;11;452871;5;4;491687
02.01.2015;12;457106;5;4;491687
02.01.2015;13;457754;5;4;491687
02.01.2015;14;455270;5;4;491687
02.01.2015;15;459866;5;4;491687
02.01.2015;16;478714;5;4;491687
02.01.2015;17;505681;5;4;491687
02.01.2015;18;505910;5;4;491687
02.01.2015;19;500829;5;4;491687
02.01.2015;20;495172;5;4;491687
02.01.2015;21;485679;5;4;491687
02.01.2015;22;468466;5;4;491687
02.01.2015;23;436689;5;4;491687
03.01.2015;0;416550;5;4;491687
03.01.2015;1;397885;5;4;491687
03.01.2015;2;386624;5;4;491687
03.01.2015;3;382342;5;4;491687
03.01.2015;4;379442;5;4;491687
03.01.2015;5;384220;5;4;491687
03.01.2015;6;392655;5;4;491687
03.01.2015;7;404215;5;4;491687
03.01.2015;8;425321;5;4;491687
03.01.2015;9;442560;5;4;491687
03.01.2015;10;455138;5;4;491687
03.01.2015;11;463008;5;4;491687
03.01.2015;12;466652;5;4;491687
03.01.2015;13;461098;5;4;491687
03.01.2015;14;459333;5;4;491687
03.01.2015;15;461870;5;4;491687
03.01.2015;16;479279;5;4;491687
03.01.2015;17;508932;5;4;491687
03.01.2015;18;512448;5;4;491687
03.01.2015;19;506894;5;4;491687
