Дата;Местное время Тверь;Потребление факт, МВтч;DATE;HOUR;FACT
01.01.2016;00:00-01:00;635;01.01.2016;0;635
01.01.2016;01:00-02:00;618;01.01.2016;1;618
01.01.2016;02:00-03:00;593;01.01.2016;2;593
01.01.2016;03:00-04:00;567;01.01.2016;3;567
01.01.2016;04:00-05:00;548;01.01.2016;4;548
01.01.2016;05:00-06:00;541;01.01.2016;5;541
01.01.2016;06:00-07:00;542;01.01.2016;6;542
01.01.2016;07:00-08:00;549;01.01.2016;7;549
01.01.2016;08:00-09:00;556;01.01.2016;8;556
01.01.2016;09:00-10:00;556;01.01.2016;9;556
01.01.2016;10:00-11:00;579;01.01.2016;10;579
01.01.2016;11:00-12:00;597;01.01.2016;11;597
01.01.2016;12:00-13:00;603;01.01.2016;12;603
01.01.2016;13:00-14:00;606;01.01.2016;13;606
01.01.2016;14:00-15:00;607;01.01.2016;14;607
01.01.2016;15:00-16:00;614;01.01.2016;15;614
01.01.2016;16:00-17:00;654;01.01.2016;16;654
01.01.2016;17:00-18:00;701;01.01.2016;17;701
01.01.2016;18:00-19:00;710;01.01.2016;18;710
01.01.2016;19:00-20:00;709;01.01.2016;19;709
01.01.2016;20:00-21:00;704;01.01.2016;20;704
01.01.2016;21:00-22:00;691;01.01.2016;21;691
01.01.2016;22:00-23:00;665;01.01.2016;22;665
01.01.2016;23:00-24:00;635;01.01.2016;23;635
02.01.2016;00:00-01:00;603;02.01.2016;0;603
02.01.2016;01:00-02:00;576;02.01.2016;1;576
02.01.2016;02:00-03:00;561;02.01.2016;2;561
02.01.2016;03:00-04:00;553;02.01.2016;3;553
02.01.2016;04:00-05:00;551;02.01.2016;4;551
02.01.2016;05:00-06:00;558;02.01.2016;5;558
02.01.2016;06:00-07:00;573;02.01.2016;6;573
02.01.2016;07:00-08:00;594;02.01.2016;7;594
02.01.2016;08:00-09:00;621;02.01.2016;8;621
02.01.2016;09:00-10:00;641;02.01.2016;9;641
02.01.2016;10:00-11:00;668;02.01.2016;10;668
02.01.2016;11:00-12:00;680;02.01.2016;11;680
02.01.2016;12:00-13:00;685;02.01.2016;12;685
02.01.2016;13:00-14:00;681;02.01.2016;13;681
02.01.2016;14:00-15:00;677;02.01.2016;14;677
02.01.2016;15:00-16:00;685;02.01.2016;15;685
02.01.2016;16:00-17:00;724;02.01.2016;16;724
02.01.2016;17:00-18:00;761;02.01.2016;17;761
02.01.2016;18:00-19:00;762;02.01.2016;18;762
02.01.2016;19:00-20:00;757;02.01.2016;19;757
02.01.2016;20:00-21:00;748;02.01.2016;20;748
02.01.2016;21:00-22:00;729;02.01.2016;21;729
02.01.2016;22:00-23:00;697;02.01.2016;22;697
02.01.2016;23:00-24:00;661;02.01.2016;23;661
03.01.2016;00:00-01:00;625;03.01.2016;0;625
03.01.2016;01:00-02:00;595;03.01.2016;1;595
03.01.2016;02:00-03:00;578;03.01.2016;2;578
03.01.2016;03:00-04:00;570;03.01.2016;3;570
03.01.2016;04:00-05:00;567;03.01.2016;4;567
03.01.2016;05:00-06:00;575;03.01.2016;5;575
03.01.2016;06:00-07:00;590;03.01.2016;6;590
03.01.2016;07:00-08:00;613;03.01.2016;7;613
03.01.2016;08:00-09:00;642;03.01.2016;8;642
03.01.2016;09:00-10:00;659;03.01.2016;9;659
03.01.2016;10:00-11:00;686;03.01.2016;10;686
03.01.2016;11:00-12:00;693;03.01.2016;11;693
