Дата;Местное время Тверь;Потребление факт, МВтч;;;
01.01.2017;00:00-01:00;600;01.01.2017;0;600
01.01.2017;01:00-02:00;582;01.01.2017;1;582
01.01.2017;02:00-03:00;557;01.01.2017;2;557
01.01.2017;03:00-04:00;534;01.01.2017;3;534
01.01.2017;04:00-05:00;521;01.01.2017;4;521
01.01.2017;05:00-06:00;514;01.01.2017;5;514
01.01.2017;06:00-07:00;514;01.01.2017;6;514
01.01.2017;07:00-08:00;518;01.01.2017;7;518
01.01.2017;08:00-09:00;523;01.01.2017;8;523
01.01.2017;09:00-10:00;518;01.01.2017;9;518
01.01.2017;10:00-11:00;536;01.01.2017;10;536
01.01.2017;11:00-12:00;549;01.01.2017;11;549
01.01.2017;12:00-13:00;558;01.01.2017;12;558
01.01.2017;13:00-14:00;561;01.01.2017;13;561
01.01.2017;14:00-15:00;563;01.01.2017;14;563
01.01.2017;15:00-16:00;570;01.01.2017;15;570
01.01.2017;16:00-17:00;608;01.01.2017;16;608
01.01.2017;17:00-18:00;648;01.01.2017;17;648
01.01.2017;18:00-19:00;654;01.01.2017;18;654
01.01.2017;19:00-20:00;650;01.01.2017;19;650
01.01.2017;20:00-21:00;643;01.01.2017;20;643
01.01.2017;21:00-22:00;630;01.01.2017;21;630
01.01.2017;22:00-23:00;606;01.01.2017;22;606
01.01.2017;23:00-24:00;578;01.01.2017;23;578
02.01.2017;00:00-01:00;545;02.01.2017;0;545
02.01.2017;01:00-02:00;520;02.01.2017;1;520
02.01.2017;02:00-03:00;504;02.01.2017;2;504
02.01.2017;03:00-04:00;496;02.01.2017;3;496
02.01.2017;04:00-05:00;494;02.01.2017;4;494
02.01.2017;05:00-06:00;500;02.01.2017;5;500
02.01.2017;06:00-07:00;512;02.01.2017;6;512
02.01.2017;07:00-08:00;525;02.01.2017;7;525
02.01.2017;08:00-09:00;551;02.01.2017;8;551
02.01.2017;09:00-10:00;566;02.01.2017;9;566
02.01.2017;10:00-11:00;595;02.01.2017;10;595
02.01.2017;11:00-12:00;606;02.01.2017;11;606
02.01.2017;12:00-13:00;605;02.01.2017;12;605
02.01.2017;13:00-14:00;604;02.01.2017;13;604
