DATE;HOUR;FACT;ID_COMPANY;ID_GTP;CITY_ID
01.01.2017;0;514604,80;9;1;1486209
01.01.2017;1;487732,20;9;1;1486209
01.01.2017;2;468675,60;9;1;1486209
01.01.2017;3;459098,20;9;1;1486209
01.01.2017;4;458250,20;9;1;1486209
01.01.2017;5;461613,40;9;1;1486209
01.01.2017;6;470159,60;9;1;1486209
01.01.2017;7;474119,20;9;1;1486209
01.01.2017;8;499634,80;9;1;1486209
01.01.2017;9;528540,80;9;1;1486209
01.01.2017;10;545548,80;9;1;1486209
01.01.2017;11;558419,00;9;1;1486209
01.01.2017;12;563575,20;9;1;1486209
01.01.2017;13;569902,20;9;1;1486209
01.01.2017;14;594533,20;9;1;1486209
01.01.2017;15;627486,60;9;1;1486209
01.01.2017;16;632736,60;9;1;1486209
01.01.2017;17;632462,00;9;1;1486209
01.01.2017;18;631937,20;9;1;1486209
01.01.2017;19;622067,80;9;1;1486209
01.01.2017;20;596875,60;9;1;1486209
01.01.2017;21;558549,80;9;1;1486209
01.01.2017;22;516503,40;9;1;1486209
01.01.2017;23;481253,00;9;1;1486209
02.01.2017;0;455547,60;9;1;1486209
02.01.2017;1;441437,00;9;1;1486209
02.01.2017;2;436006,60;9;1;1486209
02.01.2017;3;440180,00;9;1;1486209
02.01.2017;4;455747,40;9;1;1486209
02.01.2017;5;475669,80;9;1;1486209
02.01.2017;6;508384,20;9;1;1486209
02.01.2017;7;543110,60;9;1;1486209
02.01.2017;8;582709,60;9;1;1486209
02.01.2017;9;607642,60;9;1;1486209
02.01.2017;10;614590,00;9;1;1486209
02.01.2017;11;610926,40;9;1;1486209
02.01.2017;12;605267,20;9;1;1486209
02.01.2017;13;607114,60;9;1;1486209
02.01.2017;14;634461,60;9;1;1486209
02.01.2017;15;674984,60;9;1;1486209
02.01.2017;16;678000,20;9;1;1486209
02.01.2017;17;672694,80;9;1;1486209
02.01.2017;18;666871,40;9;1;1486209
02.01.2017;19;651008,00;9;1;1486209
02.01.2017;20;615565,60;9;1;1486209
02.01.2017;21;572530,60;9;1;1486209
02.01.2017;22;526922,80;9;1;1486209
02.01.2017;23;488323,80;9;1;1486209
03.01.2017;0;461255,80;9;1;1486209
03.01.2017;1;446989,60;9;1;1486209
03.01.2017;2;439500,60;9;1;1486209
03.01.2017;3;446269,60;9;1;1486209
03.01.2017;4;466126,40;9;1;1486209
03.01.2017;5;493008,80;9;1;1486209
03.01.2017;6;539613,80;9;1;1486209
03.01.2017;7;581674,00;9;1;1486209
03.01.2017;8;626490,60;9;1;1486209
03.01.2017;9;651352,20;9;1;1486209
