date;fact
31.12.2017;268,151
31.12.2017;268,096
31.12.2017;270,098
31.12.2017;269,672
31.12.2017;269,006
31.12.2017;268,595
31.12.2017;268,534
31.12.2017;268,518
31.12.2017;268,736
31.12.2017;272,572
31.12.2017;267,035
31.12.2017;268,445
31.12.2017;268,926
31.12.2017;268,471
31.12.2017;269,051
31.12.2017;268,604
31.12.2017;272,887
31.12.2017;267,925
31.12.2017;269,040
31.12.2017;269,074
31.12.2017;267,843
31.12.2017;268,195
31.12.2017;268,148
31.12.2017;270,510
31.12.2017;267,834
31.12.2017;267,574
31.12.2017;268,340
31.12.2017;268,031
31.12.2017;267,890
31.12.2017;268,312
31.12.2017;269,562
31.12.2017;267,183
31.12.2017;267,551
31.12.2017;267,723
31.12.2017;267,839
31.12.2017;268,152
31.12.2017;268,099
31.12.2017;273,537
31.12.2017;267,518
31.12.2017;269,847
31.12.2017;271,259
31.12.2017;271,296
31.12.2017;272,327
31.12.2017;273,934
31.12.2017;278,267
31.12.2017;279,781
31.12.2017;104,864
31.12.2017;0,094
31.12.2017;0,082
31.12.2017;0,114
31.12.2017;0,112
31.12.2017;0,090
31.12.2017;0,108
31.12.2017;0,113
31.12.2017;0,091
31.12.2017;0,098
31.12.2017;0,110
31.12.2017;0,103
31.12.2017;0,090
31.12.2017;0,112
31.12.2017;0,109
31.12.2017;0,092
31.12.2017;0,099
31.12.2017;0,112
31.12.2017;0,092
31.12.2017;0,106
31.12.2017;0,116
31.12.2017;0,087
31.12.2017;0,097
31.12.2017;0,122
31.12.2017;0,086
31.12.2017;0,105
31.12.2017;0,119
31.12.2017;0,093
31.12.2017;0,093
31.12.2017;0,107
31.12.2017;0,104
31.12.2017;0,104
31.12.2017;0,088
31.12.2017;0,098
31.12.2017;0,101
31.12.2017;0,092
31.12.2017;0,119
31.12.2017;0,090
31.12.2017;0,097
31.12.2017;0,105
31.12.2017;0,089
31.12.2017;0,086
31.12.2017;0,110
31.12.2017;0,092
31.12.2017;1,207
31.12.2017;4,638
31.12.2017;264,870
31.12.2017;267,287
31.12.2017;271,390
31.12.2017;269,574
31.12.2017;271,297
31.12.2017;270,838
31.12.2017;269,641
31.12.2017;270,838
31.12.2017;267,789
31.12.2017;269,975
31.12.2017;269,203
31.12.2017;272,005
31.12.2017;268,279
31.12.2017;269,643
31.12.2017;268,931
31.12.2017;269,797
31.12.2017;269,867
31.12.2017;269,772
31.12.2017;272,298
31.12.2017;269,253
31.12.2017;267,866
31.12.2017;269,739
31.12.2017;271,308
31.12.2017;269,254
31.12.2017;273,914
31.12.2017;531,768
31.12.2017;269,375
31.12.2017;270,668
31.12.2017;270,065
31.12.2017;271,287
31.12.2017;269,165
31.12.2017;271,173
31.12.2017;268,987
31.12.2017;269,545
31.12.2017;268,250
31.12.2017;269,192
31.12.2017;267,964
31.12.2017;268,474
31.12.2017;269,846
31.12.2017;268,845
31.12.2017;269,186
31.12.2017;268,073
31.12.2017;268,155
31.12.2017;267,980
31.12.2017;268,597
31.12.2017;268,017
31.12.2017;272,298
31.12.2017;267,483
31.12.2017;267,691
31.12.2017;258,816
31.12.2017;270,390
30.12.2017;809,563
30.12.2017;263,647
30.12.2017;266,364
30.12.2017;268,739
30.12.2017;269,682
30.12.2017;265,376
30.12.2017;269,356
30.12.2017;265,209
30.12.2017;266,337
