DATE;HOUR;FACT
01.02.2015;0;140,16
01.02.2015;1;503,34
01.02.2015;2;243,54
01.02.2015;3;71,52
01.02.2015;4;138,96
01.02.2015;5;201,12
01.02.2015;6;208,2
01.02.2015;7;43,5
01.02.2015;8;372,96
01.02.2015;9;455,88
01.02.2015;10;265,98
01.02.2015;11;387,18
01.02.2015;12;363,54
01.02.2015;13;173,28
01.02.2015;14;535,98
01.02.2015;15;441,66
01.02.2015;16;398,88
01.02.2015;17;333,96
01.02.2015;18;424,38
01.02.2015;19;126,96
01.02.2015;20;240,78
01.02.2015;21;235,02
01.02.2015;22;91,38
01.02.2015;23;113,7
02.02.2015;0;196,8
02.02.2015;1;239,58
02.02.2015;2;233,1
02.02.2015;3;118,2
02.02.2015;4;395,88
02.02.2015;5;34,8
02.02.2015;6;165,6
02.02.2015;7;112,32
02.02.2015;8;141,96
02.02.2015;9;142,92
02.02.2015;10;189,84
02.02.2015;11;104,58
02.02.2015;12;179,82
02.02.2015;13;-59,82
02.02.2015;14;129,96
02.02.2015;15;159,48
02.02.2015;16;191,4
02.02.2015;17;351,84
02.02.2015;18;1013,28
02.02.2015;19;318,96
02.02.2015;20;483,36
02.02.2015;21;694,8
02.02.2015;22;934,74
02.02.2015;23;1167,66
03.02.2015;0;669,66
03.02.2015;1;1014,3
03.02.2015;2;941,94
03.02.2015;3;45,72
03.02.2015;4;583,8
03.02.2015;5;344,58
03.02.2015;6;375,72
03.02.2015;7;184,14
03.02.2015;8;280,08
03.02.2015;9;310,8
03.02.2015;10;823,62
03.02.2015;11;132,3
03.02.2015;12;99,12
03.02.2015;13;148,5
03.02.2015;14;194,58
03.02.2015;15;100,98
03.02.2015;16;392,1
03.02.2015;17;683,94
03.02.2015;18;67,38
03.02.2015;19;247,68
03.02.2015;20;552,3
03.02.2015;21;353,16
03.02.2015;22;683,58
03.02.2015;23;710,4
04.02.2015;0;611,22
04.02.2015;1;621,48
04.02.2015;2;494,82
04.02.2015;3;739,14
04.02.2015;4;463,08
04.02.2015;5;36,78
04.02.2015;6;387,12
04.02.2015;7;692,76
04.02.2015;8;577,62
04.02.2015;9;132,06
04.02.2015;10;831,24
04.02.2015;11;1665,3
04.02.2015;12;2024,82
04.02.2015;13;1827,96
04.02.2015;14;1400,58
04.02.2015;15;1430,7
04.02.2015;16;1493,76
04.02.2015;17;1546,02
04.02.2015;18;1096,5
04.02.2015;19;453,42
04.02.2015;20;178,14
04.02.2015;21;157,08
04.02.2015;22;157,56
04.02.2015;23;204,36
05.02.2015;0;203,64
05.02.2015;1;53,7
05.02.2015;2;167,1
05.02.2015;3;195,6
05.02.2015;4;14,04
05.02.2015;5;240,84
05.02.2015;6;101,88
05.02.2015;7;85,14
05.02.2015;8;360,96
05.02.2015;9;141,66
05.02.2015;10;148,08
05.02.2015;11;321,48
05.02.2015;12;-533,88
05.02.2015;13;154,14
05.02.2015;14;210,78
05.02.2015;15;175,44
05.02.2015;16;263,34
05.02.2015;17;108,18
05.02.2015;18;145,32
05.02.2015;19;163,74
05.02.2015;20;232,32
05.02.2015;21;65,16
05.02.2015;22;286,74
05.02.2015;23;157,14
06.02.2015;0;214,5
06.02.2015;1;161,82
06.02.2015;2;112,92
06.02.2015;3;314,46
06.02.2015;4;316,74
06.02.2015;5;110,88
06.02.2015;6;244,2
06.02.2015;7;160,02
06.02.2015;8;396,18
06.02.2015;9;1536,96
06.02.2015;10;2601,24
06.02.2015;11;2688,06
06.02.2015;12;2077,74
06.02.2015;13;762,54
06.02.2015;14;958,38
06.02.2015;15;838,74
06.02.2015;16;1018,32
06.02.2015;17;1034,28
06.02.2015;18;579,6
06.02.2015;19;208,92
06.02.2015;20;330,9
06.02.2015;21;216,72
06.02.2015;22;263,4
06.02.2015;23;296,4
07.02.2015;0;233,34
07.02.2015;1;483,66
07.02.2015;2;447,72
07.02.2015;3;314,1
07.02.2015;4;330,84
07.02.2015;5;598,26
07.02.2015;6;70,86
07.02.2015;7;195,12
07.02.2015;8;290,16
07.02.2015;9;61,26
07.02.2015;10;154,98
07.02.2015;11;137,82
07.02.2015;12;72,6
07.02.2015;13;159,9
07.02.2015;14;144,78
07.02.2015;15;35,4
07.02.2015;16;27,3
07.02.2015;17;122,94
07.02.2015;18;179,04
07.02.2015;19;75,72
07.02.2015;20;324,96
07.02.2015;21;65,16
07.02.2015;22;219,54
07.02.2015;23;196,44
