fact,pred
188155,193550.75
204960,209362.296875
199067,209210.609375
190449,204692.328125
199338,199298.21875
184910,194206.765625
192853,179563.078125
171590,177909.671875
199687,200488.71875
208350,204546.953125
203927,202941.40625
186170,186494.671875
214935,209746
207818,202718.96875
190948,190715.46875
201561,204422.734375
197879,196077.625
181612,187135.171875
183542,186718.203125
210168,201374.40625
181625,186234.484375
184753,181621.515625
188004,185396.828125
222411,202818.359375
205572,207060.75
208347,206752.921875
191439,206674.0625
186887,188488.890625
180652,179126.765625
184692,179420.5
209209,208013.140625
231419,219014.6875
173955,177688.046875
209891,209959.34375
214755,208640.171875
211039,207925.484375
185827,186596.265625
217970,207216.609375
197342,204319.8125
220123,216586.78125
207590,206487.890625
202446,200607.296875
222084,223049.78125
206441,197476.828125
170628,178412.9375
173864,175110.015625
191397,204779.015625
209496,207212.0625
204430,206595.4375
193301,184093.75
180737,189490.625
216597,214122.671875
202056,201459.6875
169123,188066.21875
201960,196160.484375
201517,205923.6875
213704,212904.203125
190216,192891.609375
180573,178901.25
182762,182848.3125
203598,205178.984375
167734,180592.125
178122,182296.359375
168586,183016.140625
170580,183032.890625
190540,197863.84375
185554,189524.421875
193364,191592.5
201720,199640.4375
208035,202563.59375
209708,209769.015625
216096,202465.28125
185797,185856.390625
192950,185031.1875
208229,212846.34375
216104,213275.890625
219008,215352.84375
210224,205191.109375
203576,201966.390625
187726,185190.078125
174674,179774.34375
182714,175726.8125
186397,180704.265625
206895,207607.859375
203824,214891.453125
199792,209137.796875
180114,173182.359375
193277,203173.21875
190550,196095.03125
183090,182314.265625
179814,183663.234375
169595,191633.609375
221942,219287.4375
219588,214399.140625
196884,194079.015625
213324,202459.484375
215513,211065.328125
195765,204886.078125
183599,172448.625
173313,182367.65625
207302,210939.765625
191774,205948.25
201095,208652.5
196904,210622.953125
196343,203000.25
194252,191138.078125
178991,177592.328125
182163,176196.515625
199656,187482.609375
216128,203803.71875
240026,217909.859375
202616,195526.21875
200788,187374.28125
210647,214486.671875
194195,205236.328125
203158,203023.6875
192288,187427.71875
182062,178927.015625
177757,174456.9375
183004,178557.28125
177356,179811.734375
212563,210708.75
163548,183917.046875
199223,208506.09375
208987,208366.359375
212802,204892.90625
191399,194869.453125
181282,183053.3125
170212,178451.90625
184485,184883.375
204076,201188.96875
203088,192639.578125
216515,212330.171875
182414,181184.171875
200937,202401.765625
197627,198468.609375
199424,196903.640625
193187,196866.265625
194649,192947.171875
190646,196251.796875
215763,210383.671875
198897,207830.125
209381,208431.9375
194019,210025.4375
182620,181865.03125
172299,180900.671875
208361,208473.09375
173406,184366.953125
180409,179037.109375
191927,186028.75
215375,209590.84375
227936,211605.265625
204452,204756.953125
202477,204860.671875
200688,206425.484375
174894,195981.734375
175867,177359.09375
208221,193468.8125
183697,186922.5625
201699,192753.140625
216287,200671.96875
208013,211163.578125
205405,208081.40625
205195,205350.859375
164992,173322.140625
195202,204634.171875
202212,223316.46875
201877,211952.453125
158874,172760.0625
172968,169079.78125
175031,181637.796875
196421,199477.53125
196802,209852.84375
210150,210452.09375
198639,205331.65625
188056,196176.390625
179938,186604.625
180442,183153.03125
194569,190225.375
225836,213865.53125
218510,207600.734375
199801,201578.078125
179475,176836.875
199637,199289.859375
212782,208695.890625
212813,208229.296875
201090,206461.109375
205080,204817.109375
184449,191281.953125
179026,172313.984375
175330,176454.640625
202411,201946.9375
203400,211094.109375
199727,200935.484375
192047,190097.53125
195302,189772.921875
197975,192233.8125
216613,203178.828125
192474,211730.625
197035,202775.421875
194656,194447.3125
169343,185684
172319,174752.671875
212437,215667.09375
201642,201934.984375
200345,195207.25
208189,207291.3125
210456,211306.203125
203875,207885.625
194751,178491.390625
200646,186920.421875
230013,223180.21875
212742,210703.125
203509,200987.984375
176391,186214.40625
179657,184207.90625
190155,196728.515625
220569,221444.25
214119,211371.109375
169267,181831.03125
180380,177401.390625
223867,223126.578125
215988,218742.703125
183703,191336.859375
218987,218485.015625
211875,210678.203125
206788,210577.171875
210185,203794.578125
210431,187037.75
213191,209119.84375
231319,220220.03125
224574,214626.625
217357,203979.890625
195385,185567.703125
203826,207260.28125
255036,230321.375
219281,210666.546875
220762,207413.125
228139,219027.84375
234337,226444.359375
166023,175296.484375
166682,187197.8125
172092,192270.65625
189939,175782.296875
189205,183059.953125
182288,191578.25
174820,186083.046875
168108,177688.21875
200925,208290.265625
167574,191725.375
182087,194176.015625
191387,195059.484375
194900,206454.609375
195430,201575.578125
188882,196489.078125
173258,177019.109375
189663,182389.578125
201590,194203.25
198129,191371.90625
193494,197426.546875
198375,200967.859375
201932,200002.703125
203782,198419.390625
183233,193704.203125
177006,182835.921875
182790,186924.875
199650,202733.265625
216764,195508.6875
223882,215936.078125
208877,216631.8125
220831,205979.46875
216395,208106
212809,203041.5
201500,195916.890625
207869,216724.59375
228632,223656.640625
216612,211555.03125
212332,209894.875
220924,207089.578125
205603,205537.1875
212736,210136.828125
225863,214206.625
223359,217224.3125
209642,214769.140625
200322,197265.640625
203117,184299.09375
187481,183393
228390,219334.90625
219967,215345.859375
216050,206179.734375
212659,199818.71875
214059,217828.609375
212324,218381.0625
201612,218548.15625
205171,217496.28125
204693,188586.34375
196453,191581.53125
193417,196814.65625
206336,210009.8125
210307,207276.484375
216665,205341.65625
204944,200574.78125
205542,200278.703125
210780,208677.578125
219865,223229.59375
230203,219884.890625
225799,219780.90625
222228,207987.15625
235059,211752.640625
221718,204839.1875
217361,208445.46875
219243,214498.734375
221715,216997.796875
231779,217582.171875
210025,198917.125
190339,188155.90625
205213,206704.21875
207544,193011.953125
197096,198596.96875
200910,207881.0625
207730,207802.1875
183777,187679.03125
201921,205359.671875
190770,203749.296875
198754,196186.875
210042,209321.171875
214324,212187.0625
205899,213883.6875
207044,212487.15625
216578,215861.75
207225,207425.796875
189877,194091.59375
183069,190412.140625
182796,186804.046875
182202,186615.84375
201021,206945.453125
203745,197109.359375
202390,205385.125
205481,210044.859375
178700,185348.03125
182641,185091.375
186440,193791.78125
230915,220603.65625
190414,191633.796875
232466,212191.5
209398,211458.8125
205181,211086.0625
197936,205512.484375
174970,185540.453125
203343,193880.703125
241872,223454.3125
210271,202413.15625
182016,191952.234375
198437,201593.828125
219886,210597.046875
221590,209362.890625
212784,210443.46875
181458,182318.625
179594,176203.234375
170249,178339.453125
215607,204039.609375
196978,197645.640625
192876,193170.328125
173559,177858.4375
179724,187825.671875
208917,212811.84375
214976,215714
182945,178338.9375
173033,179966.8125
203044,206637.40625
211745,212882.484375
201813,203711.421875
184023,183967.03125
179767,183798.515625
195443,188441.96875
196795,198752.15625
179090,173234.5625
217205,206975.265625
232842,216003.015625
219251,208282.3125
193880,199465.546875
187219,183397.71875
179027,177975.171875
183148,186276.9375
210802,208127.046875
205162,202835.953125
195986,196111.296875
178260,180930.171875
182123,201514.828125
203899,213168.328125
206732,204357.234375
194134,199373.125
176808,191325.375
176008,185992.921875
185231,187008.5
193101,198542.25
196120,203042.46875
198762,194885.4375
177925,187617.640625
175004,181977.96875
174687,178849.734375
171077,175843.328125
189370,192756.265625
195514,188076.4375
191033,192564.453125
199365,209554.46875
204846,209478.140625
186174,177867.25
190490,193471.578125
182369,187733.984375
173418,180315.5625
214717,215792.59375
203565,200293.40625
197210,192148.21875
193542,186302.34375
232829,224990.28125
206678,214772.828125
214851,208595.796875
207005,199109
223977,222684.84375
211215,211493.90625
242150,213784.78125
183792,187382.140625
175094,183086.140625
201159,200689.203125
234538,223250.671875
221646,215529.546875
203588,193685.546875
212839,204905.8125
200055,195086.828125
195461,199175.28125
196976,207454.671875
228875,218511.890625
180699,187311.03125
190130,185297.125
225168,222657.453125
207245,203335.265625
228801,216659.078125
190272,186246.203125
200501,193000.921875
203646,215318.140625
217611,211473.53125
214523,204160.09375
205934,195172.8125
191725,188507.40625
200262,193510.140625
212239,200717.328125
226163,212488.984375
226745,216175.71875
213144,207716.78125
186133,188010.4375
189881,184944.921875
202792,197953.5
225600,216637.796875
216198,210848.25
208168,207601.71875
201641,200915.9375
218789,209554.265625
204358,210496.046875
198253,206038.8125
193058,200561.390625
182249,177639.765625
179775,187785.90625
183586,202246.640625
205115,210587.203125
203961,208142.734375
172897,180056.09375
199894,196980.453125
213791,210952.4375
226461,216928.0625
221345,213028.5
213920,207944.125
192958,201473.71875
182588,188134.015625
196660,199356.203125
206342,190640.90625
218789,199564.484375
226206,214159.84375
185076,181534.0625
191797,184953.5625
218110,213291.546875
209094,208926.09375
198614,200189.140625
194049,190107.140625
171114,177934.609375
204272,197933.859375
224312,217250.625
222711,216470.9375
212789,204000.3125
209608,204470.890625
174852,178826.703125
184071,183580.59375
222456,220149.0625
200548,199198.640625
207646,211675.90625
202119,208222.546875
199840,202889.359375
177440,183002.171875
241403,220927.671875
178243,187969.390625
185988,196389.78125
199676,196877.71875
186628,190883.234375
173348,176139.734375
212993,203829.953125
204328,198324.234375
191762,189200.078125
198083,191209.90625
203399,198721.25
218909,211897.6875
199742,204378.875
191887,199559.734375
204357,208955.1875
194655,205305.8125
197487,188200.421875
201477,189692.234375
208301,198738.5
221541,213938.15625
208074,204727.859375
187652,183987.921875
192800,198217.59375
211267,210595.84375
224226,223468.375
215555,207692.21875
186396,190250.046875
160972,175468.09375
195024,197187.953125
206212,210843.625
194750,201316.03125
198026,197798.75
171035,174741.84375
204572,207717.578125
192111,182889.8125
187048,180053
174836,191658.46875
206841,211107.609375
208024,214882.234375
188773,198140.859375
182808,182365.921875
177727,186529.890625
160135,173963.5
160570,166561.03125
216978,203061.640625
214625,199326.734375
172411,181836.40625
178725,174412.859375
185613,176453.625
202983,207767.296875
209052,223139.78125
208432,207666.28125
195382,183542.421875
199300,185848.046875
195586,196095.765625
215126,212487.359375
202182,205884.8125
204966,200090.078125
201586,197568
191149,187279.421875
189516,181869.359375
231307,222746.015625
216826,208083.578125
173320,184857.640625
181899,181413.953125
201206,188730.453125
221900,212058.796875
215761,218651.140625
215367,210994.28125
196244,195700.265625
174781,181237.734375
206803,210185.734375
211588,205241.21875
193865,191916
198564,202465.09375
195518,205117.15625
179933,187494.9375
165691,183802.1875
210897,213457.8125
188868,193755.5625
209282,199013.140625
211148,215264.546875
224044,215508.78125
204770,205636.78125
204586,204155.421875
224985,217973.65625
260443,233465.203125
233162,221560.4375
210704,201163.265625
199107,191741.28125
191855,178017.265625
188673,180244.046875
189230,182982.453125
226229,218155.421875
195864,187204.25
185218,181865.375
246476,227392
193265,206920.1875
191648,190919.828125
207330,206711.71875
201369,202579.8125
203855,195119.203125
176214,179864.71875
166949,179981.578125
163188,182581.1875
169517,185149.8125
208244,207761.75
178270,187597.78125
213740,212630.6875
220269,216414.578125
210323,207716.78125
195075,202451.765625
183277,179129.328125
188449,198095.515625
209280,211134.1875
187437,197770.84375
175892,191443.828125
225957,214997.21875
207183,209642.609375
205854,201892.25
189920,196697.375
181904,189095.453125
190497,183441.28125
200121,193286.96875
193939,203959.65625
205672,206481.984375
202548,200504.59375
194602,193808.59375
187466,198363.765625
217078,209055.25
213076,217447.75
178425,183308.015625
184603,181911.859375
196057,193917.125
217014,213336.109375
193335,200933.75
197469,195425.171875
201665,202469.140625
204870,202340.390625
215471,218031.671875
215025,211299.765625
215831,210473.375
196212,188374.421875
218242,206523.140625
